date,region,product,quantity,unit_price
2026-01-03,East,Laptop,2,5200.00
2026-01-05,North,Monitor,5,1200.00
2026-01-07,South,Keyboard,10,260.00
2026-01-09,West,Mouse,12,120.00
2026-01-12,East,Monitor,3,1250.00
2026-01-14,North,Laptop,1,5100.00
2026-01-16,South,,8,280.00
2026-01-18,West,Monitor,4,1180.00
2026-01-21,East,Keyboard,15,250.00
2026-01-24,North,Mouse,20,110.00
2026-02-02,South,Laptop,2,5300.00
2026-02-04,West,Keyboard,9,270.00
2026-02-07,East,Mouse,18,115.00
2026-02-10,North,Monitor,6,1210.00
2026-02-13,South,Monitor,5,1230.00
2026-02-16,West,Laptop,1,5250.00
2026-02-19,East,,7,265.00
2026-02-22,North,Keyboard,11,255.00
2026-02-25,South,Mouse,16,118.00
2026-02-27,West,Monitor,3,1190.00
